experiment,run_name,run_id,approach,dataset,window,seed,anchor_date,sim_days,aggregate_carbon_saved_pct,retrain_count,total_carbon_immediate_gco2,total_carbon_scheduled_gco2,energy_kwh,wait_hours
fraud_simulation,carbon_aware_window0_seed1,82730ba13ae7411ba876e11be38d7f13,carbon_aware,,0,1,2024-01-01,60,0.0,36.0,9.010455,9.010455,,
fraud_simulation,carbon_aware_window0_seed2,667d7f4489f542d9aaa36cbdfef5da57,carbon_aware,,0,2,2024-01-01,60,0.0,36.0,9.010455,9.010455,,
fraud_simulation,carbon_aware_window1_seed0,a4a468483b034dafb0acdfb0d644ad3b,carbon_aware,,1,0,2024-05-01,60,0.0,36.0,5.894253,5.894253,,
fraud_simulation,carbon_aware_window1_seed1,85abf59fe62e41a7a15f0cf1d822d344,carbon_aware,,1,1,2024-05-01,60,0.0,36.0,5.894253,5.894253,,
fraud_simulation,carbon_aware_window1_seed2,7bb72ccd6394402f9d214a75e3e416bb,carbon_aware,,1,2,2024-05-01,60,0.0,36.0,5.894253,5.894253,,
fraud_simulation,carbon_aware_window2_seed0,c8e8fe3c7918474b83afbcbc92a48e80,carbon_aware,,2,0,2024-10-15,60,0.0,36.0,9.646798,9.646798,,
fraud_simulation,carbon_aware_window2_seed1,62869d936a6f4ac7987d52ec047d12e4,carbon_aware,,2,1,2024-10-15,60,0.0,36.0,9.646798,9.646798,,
fraud_simulation,carbon_aware_window2_seed2,b2dd0e0fdd424b1dbbbdbae6440ce172,carbon_aware,,2,2,2024-10-15,60,0.0,36.0,9.646798,9.646798,,
fraud_simulation,drift_immediate_window0_seed0,336a6e99cdd146a194dba24cd77cf498,drift_immediate,,0,0,2024-01-01,60,0.0,36.0,7.401711,7.401711,,
fraud_simulation,drift_immediate_window0_seed1,7cec9969af504da294344256b8fd3870,drift_immediate,,0,1,2024-01-01,60,0.0,36.0,7.401711,7.401711,,
fraud_simulation,drift_immediate_window0_seed2,b63a769f7a7845fd80e808280ff6b4d6,drift_immediate,,0,2,2024-01-01,60,0.0,36.0,7.401711,7.401711,,
fraud_simulation,drift_immediate_window1_seed0,06486aaa21e04aac88fcf92e0be8394e,drift_immediate,,1,0,2024-05-01,60,0.0,36.0,4.143795,4.143795,,
fraud_simulation,drift_immediate_window1_seed1,5f4ccc4c643a48c8a72547eddf38537a,drift_immediate,,1,1,2024-05-01,60,0.0,36.0,4.143795,4.143795,,
fraud_simulation,drift_immediate_window1_seed2,a64967b1d708453a96f49ea1d87cb57f,drift_immediate,,1,2,2024-05-01,60,0.0,36.0,4.143795,4.143795,,
fraud_simulation,drift_immediate_window2_seed0,6cc99634142d40ffbc046d1f539b70d9,drift_immediate,,2,0,2024-10-15,60,0.0,36.0,7.717288,7.717288,,
fraud_simulation,drift_immediate_window2_seed1,a9e6cebfcbe14eaab95d1079a179de7c,drift_immediate,,2,1,2024-10-15,60,0.0,36.0,7.717288,7.717288,,
fraud_simulation,drift_immediate_window2_seed2,bae9c5c006974faa89c57e2ca9e5b614,drift_immediate,,2,2,2024-10-15,60,0.0,36.0,7.717288,7.717288,,
fraud_simulation,periodic_window0_seed0,997f3519e7f545d69cde7819b6715cce,periodic,,0,0,2024-01-01,60,0.0,8.0,1.599017,1.599017,,
fraud_simulation,periodic_window0_seed1,e5832636604640a1adce28b741d39e09,periodic,,0,1,2024-01-01,60,0.0,8.0,1.599017,1.599017,,
fraud_simulation,periodic_window0_seed2,6da83653cf54477babab8a2a623329b0,periodic,,0,2,2024-01-01,60,0.0,8.0,1.599017,1.599017,,
fraud_simulation,periodic_window1_seed0,79fb6d61fd854d80aa1d9f3d9cf2a35d,periodic,,1,0,2024-05-01,60,0.0,8.0,0.903791,0.903791,,
fraud_simulation,periodic_window1_seed1,dc47ddfb880e474d95284701b1788bca,periodic,,1,1,2024-05-01,60,0.0,8.0,0.903791,0.903791,,
fraud_simulation,periodic_window1_seed2,1292b0c7fc9541f9a580b17642ecaa10,periodic,,1,2,2024-05-01,60,0.0,8.0,0.903791,0.903791,,
fraud_simulation,periodic_window2_seed0,017dc2d5fe3c45f7acfe1c33e947d333,periodic,,2,0,2024-10-15,60,0.0,8.0,1.676979,1.676979,,
fraud_simulation,periodic_window2_seed1,293764e48bb04e4785c538deaac0b9c3,periodic,,2,1,2024-10-15,60,0.0,8.0,1.676979,1.676979,,
fraud_simulation,periodic_window2_seed2,443ab785b7c34b20bd6d8a5c90e744af,periodic,,2,2,2024-10-15,60,0.0,8.0,1.676979,1.676979,,
